,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
3382,15083711,37.783789,-122.44278,1923,3.0,3,01/21/2015,1565000,1132,975
3383,15083824,37.780606,-122.452663,1927,3.0,8,02/09/2016,1535000,2495,2600
3384,15083879,37.781051,-122.449412,1900,2.0,,05/15/2015,1550000,2495,1600
3385,15083941,37.782084,-122.43861,1900,2.0,3,08/21/2015,1600000,,1421
3386,15084143,37.779676,-122.449096,1940,1.0,2,11/20/2015,1575000,2178,1250
3387,15084371,37.781196,-122.43766,1870,4.0,5,05/12/2014,1560000,2635,2690
3388,15084388,37.781404,-122.437664,1911,3.0,,11/03/2014,1600000,2644,1246
3389,15085124,37.777661,-122.443784,1900,3.0,5,06/27/2014,1560000,2574,1990
3390,15085144,37.777717,-122.444648,1900,2.0,5,06/25/2014,1560000,2500,3150
3391,15085619,37.776681,-122.43721,1894,2.0,,06/04/2013,1600000,3615,3020
3392,15085722,37.775348,-122.444369,1906,3.0,,01/22/2016,1550000,2495,3600
3393,15085784,37.775466,-122.447261,1917,2.0,6,06/13/2014,1575000,2500,2840
3394,15085867,37.773692,-122.451362,1908,2.0,3,10/31/2013,1550000,3297,3400
3395,15086159,37.773791,-122.442946,1900,2.0,7,06/17/2014,1550000,2656,3980
3396,15086612,37.769925,-122.452846,1900,3.0,,07/23/2013,1600000,3436,4665
3397,15086909,37.769987,-122.444971,1900,4.0,5,06/21/2013,1555000,2188,2898
3398,15087103,37.768014,-122.448981,1907,3.0,4,05/02/2013,1550000,3047,2535
3399,15087109,37.76788,-122.448965,1907,2.0,3,07/24/2015,1585000,3047,1650
3400,15087160,37.767275,-122.447805,1900,1.25,3,10/23/2014,1531000,,1608
3401,15087332,37.76934,-122.43702,1995,2.0,2,10/22/2015,1575000,,1754
3402,15087608,37.765883,-122.452507,1909,3.0,,07/30/2013,1595000,3125,2750
3403,15088216,37.763214,-122.451229,1909,1.0,1,09/22/2014,1550000,2988,769
3404,15088320,37.76237,-122.44841,1909,2.0,3,10/07/2014,1575000,,2020
3405,15088974,37.786798,-122.485969,1905,3.0,,01/15/2015,1531000,3158,2768
3406,15089241,37.786609,-122.470779,1907,2.0,3,10/20/2015,1600000,,1770
3407,15089324,37.786835,-122.46499,1909,2.0,3,10/03/2014,1559000,,1877
3408,15089567,37.785769,-122.461727,1904,2.0,3,10/07/2014,1555000,3000,1601
3409,15089577,37.785956,-122.462156,1904,2.0,2,09/11/2015,1560000,2996,1130
3410,15089717,37.786552,-122.466249,1909,2.0,3,12/31/2013,1575000,,2139
3411,15090073,37.784928,-122.475744,1910,4.0,3,06/13/2013,1544000,3000,3318
3412,15090939,37.783752,-122.483217,1914,2.0,3,04/01/2015,1600000,1875,1834
3413,15091066,37.78304,-122.477752,1922,2.0,4,06/17/2015,1550000,3000,3200
3414,15091142,37.783058,-122.476024,1916,2.0,,08/04/2015,1590000,3000,3410
3415,15091200,37.78358,-122.473406,1913,2.0,,10/04/2013,1600000,3824,2580
3416,15091437,37.783807,-122.463741,1904,3.0,,03/30/2016,1600000,3000,3312
3417,15091588,37.782506,-122.460418,1910,1.0,3,05/22/2015,1570000,2996,1400
3418,15092312,37.780502,-122.493694,1924,3.0,6,08/29/2013,1588000,3000,3200
3419,15092443,37.780887,-122.498511,1916,2.5,4,07/15/2015,1600000,2678,2346
3420,15092773,37.780898,-122.508849,1947,2.0,4,01/30/2015,1570000,2500,2350
3421,15093735,37.779371,-122.487159,1915,3.0,6,09/08/2014,1580000,2800,2790
3422,15093752,37.778267,-122.487543,1996,5.0,5,06/03/2013,1580000,2475,4239
3423,15094608,37.778772,-122.460567,1905,4.0,,06/05/2015,1550000,3014,3700
3424,15094763,37.778547,-122.465507,1907,2.0,4,08/10/2015,1575000,3000,2125
3425,15095179,37.778147,-122.475663,1913,2.25,3,10/21/2014,1540000,3044,1780
3426,15095326,37.77805,-122.479439,1920,4.5,4,12/30/2014,1550000,1559,2334
3427,15095398,37.777221,-122.480969,1919,3.5,4,10/17/2013,1540000,3000,2000
3428,15095651,37.776336,-122.486861,1922,5.0,5,04/23/2014,1551000,1875,2250
3429,15095760,37.777253,-122.489154,1961,2.0,3,12/24/2013,1575000,3005,1603
3430,15097646,37.774952,-122.482505,1916,4.5,4,08/01/2013,1600000,2339,1950
3431,15097651,37.774725,-122.482777,1917,2.0,4,05/01/2014,1600000,1881,1720
