,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
4003,37.778373,-122.40319,2000,1.5,1,10/11/2013,695000,,911
4004,37.776382,-122.445739,2002,1.0,1,01/16/2015,695000,,683
4005,37.777996,-122.403968,1996,1.0,1,05/31/2013,675000,4344,989
4006,37.786064,-122.392173,2008,1.0,1,08/02/2013,699000,,605
4007,37.764766,-122.456226,1928,1.0,1,06/05/2013,680000,,741
4008,37.791005,-122.433608,1900,1.0,1,06/21/2013,675000,,526
4009,37.764114,-122.402984,2007,1.0,1,11/08/2013,673000,,692
4010,37.786188,-122.394819,1998,2.0,1,04/28/2015,670000,,966
4011,37.764114,-122.402984,2007,1.0,1,07/26/2013,670000,,804
4012,37.786064,-122.392173,2008,1.0,1,09/12/2013,681000,,605
4013,37.789521,-122.412276,1909,1.0,2,08/15/2013,699000,,609
4014,37.786064,-122.392173,2008,,1,07/03/2013,699000,,605
4015,37.80347,-122.40409,1983,1.0,1,05/02/2014,690000,,789
4016,37.773929,-122.39624,2009,1.0,1,01/24/2014,685000,,670
4017,37.773929,-122.39624,2009,1.0,1,09/20/2013,695000,,730
4018,37.796913,-122.4039,1911,,,06/06/2013,695000,,835
4019,37.773929,-122.39624,2009,1.0,1,08/15/2013,675000,,664
4020,37.773929,-122.39624,2009,,1,05/08/2013,672000,,694
4021,37.788707,-122.418395,2009,1.0,1,06/20/2014,695000,,605
4022,37.75083,-122.410118,1906,1.0,2,01/03/2014,698000,1873,800
4023,37.785747,-122.397399,2000,1.0,1,03/05/2014,685000,,668
4024,37.788009,-122.38964,1997,,,07/20/2015,690000,,821
4025,37.762137,-122.429257,1928,1.0,1,07/03/2014,685000,3210,733
4026,37.80347,-122.40409,1983,1.0,1,07/23/2014,670000,,779
4027,37.775894,-122.440467,1890,1.0,1,12/24/2015,675000,3441,593
4028,37.750545,-122.424644,1926,,,10/08/2013,690000,,805
4029,37.776088,-122.41407,2011,1.0,1,03/30/2015,676000,,674
4030,37.79996,-122.418455,1910,1.0,1,03/14/2014,678000,,620
4031,37.776088,-122.41407,2011,1.0,1,04/08/2014,680000,,671
4032,37.773098,-122.430308,1885,1.0,1,10/08/2014,670000,,785
4033,37.781719,-122.439437,2013,1.0,1,05/08/2015,690000,,595
4034,37.781719,-122.439437,2013,1.0,1,09/27/2013,679000,,679
