,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
5029,59780046,37.749213,-122.435777,1997,,,06/28/2013,783500,,Condominium,2015,1171238.0,1559,94114
5030,64972868,37.71085,-122.390182,2001,2.0,2,02/18/2016,770000,,Condominium,2015,639498.0,1337,94134
5031,69815641,37.748825,-122.424271,1910,1.0,1,10/11/2013,765000,,Condominium,2015,780284.0,752,94110
5032,69817476,37.741103,-122.506346,2002,2.0,2,10/28/2014,780000,,Condominium,2015,780000.0,1223,94116
5033,79526523,37.713524,-122.402856,2009,5.0,6,05/31/2013,770000,2905,SingleFamily,2015,910981.0,3045,94134
5034,79841118,37.733495,-122.426181,2006,,,07/15/2014,780000,,Condominium,2015,804444.0,1790,94112
5035,79843795,37.744274,-122.42128,2004,2.0,2,06/26/2014,775000,,Condominium,2015,790484.0,927,94110
5036,96026832,37.72684,-122.43283,2009,2.0,3,10/16/2015,775000,,Condominium,2015,475520.0,1318,94112
5037,111925768,37.736983,-122.497088,1948,1.0,2,03/13/2014,780000,435,SingleFamily,2015,795584.0,1011,94116
5038,115828569,37.712434,-122.395344,2009,3.0,3,03/27/2015,760000,,Condominium,2015,533940.0,1575,94134
5039,116156602,37.743034,-122.474937,2010,2.0,3,10/29/2013,759000,,Condominium,2015,774164.0,1573,94116
5040,118485169,37.712267,-122.393719,2010,3.0,4,12/05/2014,780000,,Condominium,2015,780000.0,1878,94134
5041,119685172,37.713893,-122.399169,2008,2.0,2,08/07/2015,785000,,Condominium,2015,509085.0,1333,94134
5042,119685811,37.740632,-122.428831,1914,1.0,2,06/21/2013,780000,,Condominium,2015,870592.0,865,94131
5043,122064145,37.71302,-122.394728,2013,3.0,4,11/01/2013,773500,,Condominium,2015,788496.0,1930,94134
5044,124434434,37.70985,-122.463493,1953,1.0,,09/18/2015,775000,2500,SingleFamily,2015,472569.0,1000,94112
5045,116156602,37.743034,-122.474937,2010,2.0,3,10/29/2013,759000,,Condominium,2015,774164.0,1573,94116
5046,2101147349,37.74733,-122.41511,1908,1.0,1,11/26/2015,785000,,Condominium,,,625,94110
5047,2109128558,37.748031,-122.413345,,2.0,3,03/25/2014,775000,,Condominium,,,,94110
5048,15138759,37.732086,-122.450313,1923,1.0,2,04/30/2013,780000,2495,SingleFamily,2015,799194.0,1155,94127
5049,116156602,37.743034,-122.474937,2010,2.0,3,10/29/2013,759000,,Condominium,2015,774164.0,1573,94116
5050,15066770,37.797503,-122.413943,1907,4.0,,02/12/2015,785000,3632,Duplex,2015,880286.0,3400,94133
5051,15067583,37.794715,-122.40781,1970,2.0,,12/18/2015,775000,,Condominium,2015,300478.0,710,94108
5052,15067706,37.793575,-122.41367,1950,1.0,1,09/17/2014,780000,,Condominium,2015,780000.0,1100,94108
5053,15067707,37.793575,-122.41367,1950,1.0,1,09/17/2014,780000,,MultiFamily2To4,2015,101836.0,1100,94108
5054,15068474,37.791089,-122.413658,1978,1.0,1,10/03/2014,781000,,Apartment,2015,781000.0,649,94108
5055,15068491,37.791089,-122.413658,1978,1.0,,03/09/2016,784000,,Condominium,2015,764984.0,756,94108
5056,15068577,37.791089,-122.413658,1978,1.25,1,10/25/2013,535000,,Condominium,2015,906580.0,794,94108
5057,15068661,37.791067,-122.411314,1973,1.0,1,04/24/2015,760000,714,Condominium,2015,447585.0,705,94108
5058,15070411,37.803021,-122.429648,1924,1.0,1,09/30/2013,775000,,Condominium,2015,790400.0,752,94123
5059,15071759,37.79766,-122.433257,1904,1.0,2,05/17/2013,770000,,Condominium,2015,788944.0,765,94123
5060,15072013,37.797136,-122.431802,1964,1.0,1,10/30/2013,780000,,Condominium,2015,795584.0,900,94123
5061,15073715,37.794307,-122.422273,1991,2.0,,05/24/2013,775000,,Condominium,2015,723247.0,875,94109
5062,15073906,37.793326,-122.42579,1962,,2,05/23/2013,780000,,Condominium,2015,799192.0,869,94109
5063,15074137,37.792472,-122.425281,1987,2.0,2,05/15/2013,760000,,Condominium,2015,778702.0,931,94109
5064,15074880,37.790495,-122.42303,1987,1.5,1,08/21/2015,769500,,Apartment,2015,226625.0,750,94109
5065,15075542,37.787006,-122.430849,1976,1.0,2,11/06/2013,770000,,Condominium,2015,785384.0,795,94115
5066,15075543,37.787006,-122.430849,1976,1.0,,11/05/2013,770000,,Condominium,2015,145729.0,962,94115
5067,15076437,37.78675,-122.424235,1993,1.0,1,05/10/2013,770000,,Condominium,2015,788948.0,907,94109
5068,15076550,37.786755,-122.4225,1988,1.0,1,03/18/2016,775000,,Condominium,2015,662000.0,745,94109
5069,15076653,37.786755,-122.4225,1988,1.0,1,08/14/2014,785000,,Condominium,2015,785000.0,879,94109
5070,15076924,37.784298,-122.427058,1963,2.0,3,12/09/2014,760000,1207,Condominium,2015,760000.0,1102,94109
5071,15077017,37.78482,-122.423994,1966,1.0,1,03/24/2014,765000,44866,Condominium,2015,52063.0,900,94109
5072,15077328,37.783175,-122.43062,1900,3.0,3,03/14/2016,775000,2691,Condominium,2015,379237.0,1913,94115
5073,15077637,37.781386,-122.421406,1982,3.0,2,12/17/2013,771000,,Condominium,2015,786404.0,1205,94102
5074,15077643,37.781386,-122.421406,1982,2.0,2,02/14/2014,760000,,Townhouse,2015,775184.0,1030,94102
5075,15078353,37.77674,-122.427045,1983,1.0,1,09/05/2014,775000,,Condominium,2015,775000.0,818,94102
5076,15078354,37.77674,-122.427045,1983,1.0,1,02/21/2014,773000,,Condominium,2015,787975.0,893,94102
5077,15079334,37.770225,-122.4315,1983,1.0,1,10/29/2013,775000,,MultiFamily2To4,2015,790484.0,800,94117
5078,15083078,37.785922,-122.443786,1900,3.0,6,05/14/2013,765500,2212,MultiFamily2To4,2015,1599681.0,3477,94115
5079,15083304,37.783619,-122.458204,1900,1.0,2,07/11/2014,785000,,Condominium,2015,785000.0,1005,94118
5080,15083306,37.783619,-122.458204,1900,2.0,2,12/08/1976,44000,,SingleFamily,2015,86269.0,1202,94118
5081,15084075,37.781732,-122.442536,1951,1.0,,09/11/2015,775000,,Condominium,2015,144636.0,880,94115
5082,15085482,37.776292,-122.444472,1906,3.0,8,07/11/2013,770000,2500,MultiFamily2To4,2014,1969822.0,3465,94117
5083,15087154,37.767307,-122.447539,1903,1.0,2,05/06/2015,770000,,Condominium,2015,788664.0,868,94117
5084,15088265,37.762573,-122.449699,,1.0,1,08/06/2014,765000,1133,SingleFamily,2015,765000.0,715,94117
5085,15090127,37.78449,-122.47708,1921,2.0,2,11/27/2013,780000,2796,MultiFamily2To4,2015,795584.0,2363,94121
5086,15091031,37.783056,-122.478824,1918,2.0,2,07/31/2013,760000,3049,Condominium,2015,831278.0,3386,94121
5087,15091383,37.784495,-122.467035,1910,1.0,2,06/07/2013,759000,,Condominium,2015,777676.0,1313,94118
5088,15092533,37.781179,-122.499211,1941,1.0,,06/14/2013,780000,1372,SingleFamily,2015,799194.0,1021,94121
5089,15093176,37.777871,-122.503176,1920,1.0,1,03/20/2014,780000,2996,SingleFamily,2015,795584.0,1048,94121
5090,15095287,37.777541,-122.478427,1923,1.0,2,01/13/2015,780000,3000,Cooperative,2015,122384.0,1715,94121
5091,15098778,37.773831,-122.464603,1981,2.0,2,09/10/2014,770000,,Condominium,2015,770000.0,1100,94118
5092,15099902,37.773117,-122.493575,1916,1.0,,04/17/2015,760000,2996,SingleFamily,2015,528911.0,1030,94121
