,zillow_id,homo_info,year_updated,basement,roof,view,heating_sources,heating_system,rooms,neighborhood,school_district
6915,15143120,http://www.zillow.com/homedetails/1520-15th-St-San-Francisco-CA-94103/15143120_zpid/,,,,,,,,,
6916,15143735,http://www.zillow.com/homedetails/73-Pond-St-San-Francisco-CA-94114/15143735_zpid/,,,Other,,,Forced air,"Mud room, Walk-in closet, Office, Sun room, Solarium / Atrium, Master bath, Workshop, Pantry, Breakfast nook, Family room, Dining room",,
6917,15143741,http://www.zillow.com/homedetails/33-Pond-St-San-Francisco-CA-94114/15143741_zpid/,,,,,,,,,
6918,15143800,http://www.zillow.com/homedetails/30-Abbey-St-San-Francisco-CA-94114/15143800_zpid/,,,Asphalt,,,Forced air,,,
6919,15144430,http://www.zillow.com/homedetails/4031-18th-St-San-Francisco-CA-94114/15144430_zpid/,,,,,,,,,
6920,15144482,http://www.zillow.com/homedetails/183-185-Hancock-St-San-Francisco-CA-94114/15144482_zpid/,,,,,,,,,
6921,15144520,http://www.zillow.com/homedetails/3925-18th-St-San-Francisco-CA-94114/15144520_zpid/,,Partially finished,,,,,,,
6922,15144753,http://www.zillow.com/homedetails/3451-18th-St-San-Francisco-CA-94110/15144753_zpid/,,,,,,,,,
6923,15144814,http://www.zillow.com/homedetails/873-875-S-Van-Ness-Ave-San-Francisco-CA-94110/15144814_zpid/,,None,Composition,City,Gas,Forced air,"Dining room, Family room, Laundry room, Walk-in closet",Inner Mission,
6924,15146294,http://www.zillow.com/homedetails/855-Castro-St-San-Francisco-CA-94114/15146294_zpid/,,,,,,,"Office, Master bath, Family room, Dining room",Dolores Park,
6925,15146460,http://www.zillow.com/homedetails/959-Noe-St-San-Francisco-CA-94114/15146460_zpid/,,,,,,,,,
6926,15147894,http://www.zillow.com/homedetails/149-Shipley-St-San-Francisco-CA-94107/15147894_zpid/,,,Composition,,,,"Dining room, Family room",,
6927,15149371,http://www.zillow.com/homedetails/336-Arkansas-St-San-Francisco-CA-94107/15149371_zpid/,,,Other,City,,,Dining room,,
6928,15149853,http://www.zillow.com/homedetails/636-Carolina-St-San-Francisco-CA-94107/15149853_zpid/,,,,,,,,,
6929,15150286,http://www.zillow.com/homedetails/868-Potrero-Ave-San-Francisco-CA-94110/15150286_zpid/,,,,,,,,,
6930,15151468,http://www.zillow.com/homedetails/1016-De-Haro-St-San-Francisco-CA-94107/15151468_zpid/,,,,,,,,,
6931,15151644,http://www.zillow.com/homedetails/930-Wisconsin-St-San-Francisco-CA-94107/15151644_zpid/,,,,,,,,,
6932,15151748,http://www.zillow.com/homedetails/1121-Tennessee-St-APT-6-San-Francisco-CA-94107/15151748_zpid/,,,,,,Forced air,,Dogpatch,
6933,15152158,http://www.zillow.com/homedetails/1371-De-Haro-St-San-Francisco-CA-94107/15152158_zpid/,,,,Territorial,Electric,Baseboard,"Dining room, Family room, Laundry room, Master bath",,
6934,15152172,http://www.zillow.com/homedetails/1905-23rd-St-San-Francisco-CA-94107/15152172_zpid/,,,,,,,,,
6935,15180680,http://www.zillow.com/homedetails/409-Bartlett-St-San-Francisco-CA-94110/15180680_zpid/,,Unfinished,Asphalt,,,,Mud room,,
6936,15180906,http://www.zillow.com/homedetails/1151-Sanchez-St-San-Francisco-CA-94114/15180906_zpid/,,,Other,,,,,,
